ID,Issue_No,Category,Question_EN,Answer_EN,Question_JP,Answer_JP,Article_Slug,Tags,Source,Status
14,,FAQ,The translation is wrong. What should I do?,"Currently translation accuracy is 90%. We are working to improve special terms and nuances. Please report significant mistranslation issues through our Contact Form or at hello@kiara.team.",,,,wrong-translation,"accuracy, troubleshooting, translation-quality",getkiara.com/help,Complete
15,,FAQ,What happens if a sentence contains more than one language?,"The most appropriate language will be detected and reflected into the translated result.",,,,sentence,"multilingual, language-detection, translation",getkiara.com/help,Complete
16,,FAQ,Kiara doesn't work. What should I check?,"If Kiara doesn't react after inviting to a channel: 1) Check user count in your Slack workspace (#general channel), 2) Change the user count at Kiara's dashboard to match.",,,,kiara-doesnt-work,"troubleshooting, not-working, user-count",getkiara.com/help,Complete
17,,FAQ,Can I correct the translated result?,"No. You cannot correct the translated result even if the translation was wrong. This is due to the limitation of Slack App. We hope Slack will change this in the future.",,,,correct-translation,"editing, limitation, slack",getkiara.com/help,Complete
18,,FAQ,Is there a limit on message length?,"Yes. Maximum length is 5000 characters for a message.",,,,message-length,"limits, message-length, constraints",getkiara.com/help,Complete
19,,FAQ,I cannot find Kiara after I install. What's wrong?,"You might have registered the wrong number of users. If the actual number in your Slack workspace differs from the number registered with Kiara, it may not work. Check user count in #general channel and change it at Kiara's dashboard.",,,,cannot-find-kiara,"troubleshooting, installation, user-count",getkiara.com/help,Complete
20,,FAQ,Can I use Kiara on my mobile?,"Yes. You can use Kiara on your mobile inside of Slack mobile app.",,,,mobile-use,"mobile, compatibility, slack-mobile",getkiara.com/help,Complete
21,,FAQ,I cannot invite Kiara to a channel. What should I do?,"If you cannot invite Kiara at all, or only to #general but not other channels, or get errors: Say '@kiara' in the message box to invite Kiara to the channel.",,,,cannot-invite-kiara,"troubleshooting, invitation, channels",getkiara.com/help,Complete
22,,Payment,Do you offer any discounts?,"Yes. Please contact us directly via form or at hello@kiara.team",,,,discounts,"pricing, discounts, billing",getkiara.com/help,Complete
23,,Payment,Can I pay by invoice?,"Yes. We ask you pay annually if you want to pay by invoice. We offer 20% discount for annual advance payment by invoice. For specific period invoicing, contact us via form or hello@kiara.team.",,,,invoice-payment,"payment, invoice, billing, discount",getkiara.com/help,Complete
24,,Payment,Can I pay annually?,"Yes. You can pay either by card or invoice. For one-time payment for specific periods, contact us via form or hello@kiara.team.",,,,annual-payment,"payment, annual, billing",getkiara.com/help,Complete
25,,Payment,How do I update my credit card details?,"From dashboard: 1) Sign in at the top, 2) Authorize and access info, 3) Click 'Plan Setting', 4) Click 'Update Plan Setting', 5) Fill payment form and email, 6) Click 'Update Plan and Payment'.",,,,update-card,"payment, credit-card, billing, update",getkiara.com/help,Complete
26,,Payment,I installed Kiara but someone else needs to pay. How do I change the payer?,"From dashboard: 1) Sign in at Kiara's website, 2) Authorize app and access info, 3) Click 'Plan Setting' button to change payer.",,,,pay-by-others,"payment, payer, billing, admin",getkiara.com/help,Complete
27,,Payment,Can you issue a quotation?,"Yes. We can issue a quotation. Please ask us via form or at hello@kiara.team",,,,issue-quotation,"quotation, invoice, billing",getkiara.com/help,Complete
28,,Cancellation,How do I delete Kiara?,"To cancel subscription, please fill in the contact form and we will let you know after the cancellation has been done.",,,,how-to-delete,"cancellation, deletion, subscription",getkiara.com/help,Complete
29,,Cancellation,Are past messages deleted if I cancel my subscription?,"No. If you cancel your subscription, Kiara will stop the translation but past messages will not be deleted.",,,,past-messages,"cancellation, data-retention, messages",getkiara.com/help,Complete
30,,Cancellation,How can I cancel the subscription?,"To cancel subscription, please fill in contact form and we will let you know after the cancellation has been done.",,,,cancel-subscription,"cancellation, subscription, billing",getkiara.com/help,Complete
31,,Contact,How can I contact Kiara?,"Chat via chat box on bottom right, visit our contact form, email hello@kiara.team, or call/text via WhatsApp: +818063062223 or +80 9286 3531",,,,contact,"contact, support, help",getkiara.com/help,Complete
32,,Quick Start,Quick start guide,"Before Install: Check how many users are in your Slack workspace beforehand. Ensure the number of people registered with Kiara matches the actual number of people in your Slack workspace. If an error appears after entering credit card information, contact support via chat, contact form, or hello@kiara.team.",,,,quick-start,"installation, setup, getting-started, guide",getkiara.com/help,Complete
33,,How to Use,How to use DM translation feature?,Information about the DM translation feature was not available in the extracted content.,,,,how-to-use-dm-translation-feature,"dm, direct-message, translation, feature",getkiara.com/help,Incomplete
34,0809,FAQ,How do you keep or use customer data?,"Kiara implements an immediate data deletion policy to protect customer privacy. We do not sell customer data or use it for AI training purposes.",Kiaraはどの様に顧客のデータを扱いますか？,Kiaraは顧客のプライバシーを保護するため、即時データ削除ポリシーを実施しています。顧客データを販売したり、AIトレーニングに使用したりすることはありません。,data-privacy,"privacy, data-protection, security",GitHub Issue #11,Complete
35,1208,FAQ,Sometimes we see duplicated translation,"Duplicated translations can occur during periods of high traffic. This is related to technical debt in our database structure. We are working on improving the system to reduce these occurrences.",重複した翻訳が表示されることがあります,トラフィックが多い期間中に重複した翻訳が発生することがあります。これはデータベース構造の技術的な問題に関連しています。これらの発生を減らすためにシステムの改善に取り組んでいます。,duplicated-translation,"troubleshooting, technical-issues, translation",GitHub Issue #11,Complete
36,1027,FAQ,How to re-install Kiara after technical problem,"To re-install Kiara after experiencing technical problems: 1) Remove Kiara from your Slack workspace, 2) Clear browser cache and cookies, 3) Restart your browser, 4) Follow the standard installation process again, 5) Ensure user count matches your Slack workspace, 6) Contact support if issues persist.",技術的問題後のKiara再インストール方法,"技術的な問題が発生した後にKiaraを再インストールするには: 1) SlackワークスペースからKiaraを削除, 2) ブラウザのキャッシュとCookieをクリア, 3) ブラウザを再起動, 4) 標準のインストールプロセスを再度実行, 5) ユーザー数がSlackワークスペースと一致することを確認, 6) 問題が続く場合はサポートに連絡してください。",reinstall-kiara,"troubleshooting, installation, technical-support",GitHub Issue #11,Complete
37,1020,Service Level,What is Kiara's Customer Support Service Level Objective (SLO)?,"Kiara's Customer Support SLO includes: 1) First Response Time - 95% of inquiries within 1 business day, 2) Critical Issue Acknowledgment - 100% within 4 business hours, 3) Resolution Time - 90% of cases resolved within 2 business days, 4) Ongoing Case Updates - 100% updated every 7 business days, 5) SLA Compliance - ≥90% across all targets, 6) Customer Satisfaction - ≥4.5/5 rating.",KiaraのカスタマーサポートSLOは？,"Kiaraのカスタマーサポート SLOには以下が含まれます: 1) 初回応答時間 - 1営業日以内に95%の問い合わせに対応, 2) 重大問題の確認 - 4営業時間以内に100%, 3) 解決時間 - 2営業日以内に90%のケースを解決, 4) 進行中のケース更新 - 7営業日ごとに100%更新, 5) SLAコンプライアンス - 全目標で≥90%, 6) 顧客満足度 - ≥4.5/5評価。",customer-support-slo,"support, slo, service-level, response-time",GitHub Issue #11,Complete
38,0930,Payment,How to start Kiara when paying separately,Coming Soon,別々に支払う場合のKiaraの開始方法,近日公開,payment-separate-payer,"payment, billing, installation",GitHub Issue #11,Coming Soon
39,0801,Quick Start,How to install Kiara Translator after payment,Coming Soon,支払い後のKiara Translatorのインストール方法,近日公開,install-after-payment,"installation, payment, setup",GitHub Issue #11,Coming Soon
40,0903,FAQ,Can we monitor translation consumption in real-time?,"Sorry. Due to high traffic, we cannot provide this dashboard as of Sep 2025. Some big customers consume 100M characters/month, making SQL execution difficult.",リアルタイムで翻訳利用量を確認することはできますか,"申し訳ございませんが、トラフィックが非常に多いため、2025年9月現在このダッシュボードをご提供することができません。一部の大口顧客様が月間1億文字を消費されているため、技術的にSQLをスムーズに実行することができない状況です。",translation-consumption-monitoring,"monitoring, usage, dashboard, technical-limitation",GitHub Issue #11,Complete
41,0902,Cancellation,How to remove Kiara app,"Same as removing other Slack apps. Also email cancellation to hello@kiara.team",Kiaraアプリの削除方法,Plug-in削除は Slack公式URLに従いお願いします,remove-kiara-app,"removal, uninstall, cancellation",GitHub Issue #11,Complete
42,0807,Quick Start,How to sign up properly?,"Due to Slack plug-in nature, there are multiple installation ways. Recommended method involves accessing website, clicking '14-day free trial', and following screen instructions.",正しいサインアップ方法は？,"Slackプラグインの性質上、インストール方法は複数あり。推奨方法は公式サイトからインストールし、画面の指示に従うこと。",signup-properly,"signup, installation, getting-started",GitHub Issue #11,Complete
43,0806,FAQ,I could not sign-in or up. I see nothing after doing it,"Only one person can be an admin of Kiara Translator. If alice@kiara.team already signed up and paid, bob@kiara.team cannot sign in.",サインイン/アップできない。何も表示されない,"Kiara Translatorの管理者は1人のみです。alice@kiara.teamがすでにサインアップして支払っている場合、bob@kiara.teamはサインインできません。",signin-issues,"troubleshooting, admin, access-control",GitHub Issue #11,Complete
44,0805,Payment,How can we get to the payment dashboard?,"Please read this guide about updating card. In www.getkiara.com, enter dashboard by clicking 'arrow sign' next to 'sign up'",支払いダッシュボードへのアクセス方法は？,"こちらをお読みください。www.getkiara.comで「sign up」横の矢印をクリックするとダッシュボードに入れます",payment-dashboard-access,"payment, dashboard, billing",GitHub Issue #11,Complete
45,0804,FAQ,Can Kiara translate Slack Workflow?,"Sorry. Currently we do not handle Workflow or bot translation. This might cause 'infinite loop' of translation when bot translates bot. When we come up with the nice solution - we will develop it and put it in our roadmap",KiaraはSlack Workflowを翻訳できますか？,"申し訳ありません。現在WorkflowやBot翻訳には対応していません。ボットがボットを翻訳すると無限ループの可能性があります。良い解決策が見つかり次第、開発してロードマップに追加します。",workflow-translation,"workflow, bot, feature-limitation",GitHub Issue #11,Complete
46,0803,FAQ,Can we use Kiara as API and connect with Slack Workflow?,"Sorry. Currently we do not sell translation API. If you are interested, please ask us at hello@kiara.team",KiaraをAPIとして使用しSlack Workflowと連携できますか？,"申し訳ありません。現在翻訳APIは販売していません。ご興味があればhello@kiara.teamまでお問い合わせください。",api-workflow-integration,"api, workflow, integration, feature-request",GitHub Issue #11,Complete
47,0802,Payment,How can you pay when you agreed a special price with Kiara customer support?,"Please do the following step - for our customized price customers, please choose 1 person = $3/mo tentatively. Then we will refund you back $3 immediately. Because we will send you the agreed price payment URL separately",カスタマーサポートと合意した特別価格で支払う方法は？,"以下の手順に従ってください。カスタマイズ価格のお客様は、仮に1人=$3/月を選択してください。$3は即時返金し、合意価格の支払いURLを別途お送りします。",special-price-payment,"payment, custom-pricing, billing",GitHub Issue #11,Complete
